Estimated time for forward solves: 4948.51 seconds
1/205...
2/205...    AVG: 28.87s    TOTAL: 28.87s    ETR: 5888.69s
3/205...    AVG: 29.25s    TOTAL: 58.49s    ETR: 5936.74s
4/205...    AVG: 29.43s    TOTAL: 88.30s    ETR: 5945.21s
5/205...    AVG: 29.35s    TOTAL: 117.42s    ETR: 5900.34s
6/205...    AVG: 29.30s    TOTAL: 146.52s    ETR: 5860.71s
7/205...    AVG: 29.27s    TOTAL: 175.63s    ETR: 5825.02s
8/205...    AVG: 29.25s    TOTAL: 204.74s    ETR: 5791.29s
9/205...    AVG: 29.23s    TOTAL: 233.86s    ETR: 5758.78s
10/205...    AVG: 29.22s    TOTAL: 262.98s    ETR: 5727.12s
11/205...    AVG: 30.72s    TOTAL: 307.19s    ETR: 5990.16s
12/205...    AVG: 30.57s    TOTAL: 336.29s    ETR: 5930.97s
13/205...    AVG: 30.68s    TOTAL: 368.19s    ETR: 5921.77s
14/205...    AVG: 30.57s    TOTAL: 397.44s    ETR: 5869.83s
15/205...    AVG: 30.47s    TOTAL: 426.55s    ETR: 5819.35s
16/205...    AVG: 30.38s    TOTAL: 455.68s    ETR: 5771.92s
17/205...    AVG: 30.30s    TOTAL: 484.81s    ETR: 5726.77s
18/205...    AVG: 30.23s    TOTAL: 513.93s    ETR: 5683.46s
19/205...    AVG: 30.17s    TOTAL: 543.06s    ETR: 5641.79s
20/205...    AVG: 30.12s    TOTAL: 572.20s    ETR: 5601.52s
21/205...    AVG: 30.07s    TOTAL: 601.33s    ETR: 5562.28s
22/205...    AVG: 30.02s    TOTAL: 630.45s    ETR: 5523.98s
23/205...    AVG: 29.98s    TOTAL: 659.58s    ETR: 5486.51s
24/205...    AVG: 29.94s    TOTAL: 688.69s    ETR: 5449.65s
25/205...    AVG: 29.91s    TOTAL: 717.81s    ETR: 5413.48s
26/205...    AVG: 29.88s    TOTAL: 746.93s    ETR: 5377.88s
27/205...    AVG: 29.85s    TOTAL: 776.04s    ETR: 5342.75s
28/205...    AVG: 29.82s    TOTAL: 805.16s    ETR: 5308.11s
29/205...    AVG: 29.80s    TOTAL: 834.28s    ETR: 5273.83s
30/205...    AVG: 29.77s    TOTAL: 863.41s    ETR: 5239.98s
31/205...    AVG: 29.75s    TOTAL: 892.52s    ETR: 5206.37s
32/205...    AVG: 29.73s    TOTAL: 921.63s    ETR: 5173.01s
33/205...    AVG: 29.71s    TOTAL: 950.75s    ETR: 5139.98s
34/205...    AVG: 29.69s    TOTAL: 979.86s    ETR: 5107.14s
35/205...    AVG: 29.68s    TOTAL: 1009.00s    ETR: 5074.69s
36/205...    AVG: 29.66s    TOTAL: 1038.12s    ETR: 5042.29s
37/205...    AVG: 29.65s    TOTAL: 1067.24s    ETR: 5010.10s
38/205...    AVG: 29.63s    TOTAL: 1096.35s    ETR: 4978.04s
39/205...    AVG: 29.62s    TOTAL: 1125.48s    ETR: 4946.20s
40/205...    AVG: 29.61s    TOTAL: 1154.60s    ETR: 4914.44s
41/205...    AVG: 29.59s    TOTAL: 1183.71s    ETR: 4882.80s
42/205...    AVG: 29.58s    TOTAL: 1212.82s    ETR: 4851.27s
43/205...    AVG: 29.57s    TOTAL: 1241.93s    ETR: 4819.85s
44/205...    AVG: 29.56s    TOTAL: 1271.04s    ETR: 4788.56s
45/205...    AVG: 29.55s    TOTAL: 1300.16s    ETR: 4757.41s
46/205...    AVG: 29.54s    TOTAL: 1329.27s    ETR: 4726.29s
47/205...    AVG: 29.53s    TOTAL: 1358.38s    ETR: 4695.27s
48/205...    AVG: 29.52s    TOTAL: 1387.41s    ETR: 4664.06s
49/205...    AVG: 29.52s    TOTAL: 1417.19s    ETR: 4635.39s
50/205...    AVG: 29.52s    TOTAL: 1446.24s    ETR: 4604.35s
51/205...    AVG: 29.51s    TOTAL: 1475.33s    ETR: 4573.51s
52/205...    AVG: 29.50s    TOTAL: 1504.51s    ETR: 4543.04s
53/205...    AVG: 29.50s    TOTAL: 1533.80s    ETR: 4512.90s
54/205...    AVG: 29.49s    TOTAL: 1563.15s    ETR: 4483.00s
55/205...    AVG: 29.49s    TOTAL: 1592.56s    ETR: 4453.28s
56/205...    AVG: 29.49s    TOTAL: 1622.02s    ETR: 4423.68s
57/205...    AVG: 29.49s    TOTAL: 1651.49s    ETR: 4394.15s
58/205...    AVG: 29.49s    TOTAL: 1680.98s    ETR: 4364.65s
59/205...    AVG: 29.49s    TOTAL: 1710.48s    ETR: 4335.17s
60/205...    AVG: 29.49s    TOTAL: 1739.99s    ETR: 4305.73s
61/205...    AVG: 29.49s    TOTAL: 1769.50s    ETR: 4276.28s
62/205...    AVG: 29.49s    TOTAL: 1799.02s    ETR: 4246.87s
63/205...    AVG: 29.49s    TOTAL: 1828.55s    ETR: 4217.47s
64/205...    AVG: 29.49s    TOTAL: 1858.10s    ETR: 4188.10s
65/205...    AVG: 29.49s    TOTAL: 1887.63s    ETR: 4158.69s
66/205...    AVG: 29.49s    TOTAL: 1917.17s    ETR: 4129.28s
67/205...    AVG: 29.50s    TOTAL: 1946.71s    ETR: 4099.88s
68/205...    AVG: 29.50s    TOTAL: 1976.23s    ETR: 4070.45s
69/205...    AVG: 29.50s    TOTAL: 2005.76s    ETR: 4041.02s
70/205...    AVG: 29.50s    TOTAL: 2035.29s    ETR: 4011.59s
71/205...    AVG: 29.50s    TOTAL: 2064.81s    ETR: 3982.13s
72/205...    AVG: 29.50s    TOTAL: 2094.33s    ETR: 3952.69s
73/205...    AVG: 29.50s    TOTAL: 2123.86s    ETR: 3923.24s
74/205...    AVG: 29.50s    TOTAL: 2153.40s    ETR: 3893.82s
75/205...    AVG: 29.50s    TOTAL: 2182.92s    ETR: 3864.36s
76/205...    AVG: 29.50s    TOTAL: 2212.45s    ETR: 3834.91s
77/205...    AVG: 29.50s    TOTAL: 2241.96s    ETR: 3805.43s
78/205...    AVG: 29.50s    TOTAL: 2271.38s    ETR: 3775.80s
79/205...    AVG: 29.50s    TOTAL: 2300.88s    ETR: 3746.31s
80/205...    AVG: 29.50s    TOTAL: 2330.25s    ETR: 3716.59s
81/205...    AVG: 29.49s    TOTAL: 2359.55s    ETR: 3686.80s
82/205...    AVG: 29.49s    TOTAL: 2388.85s    ETR: 3657.01s
83/205...    AVG: 29.49s    TOTAL: 2418.15s    ETR: 3627.23s
84/205...    AVG: 29.49s    TOTAL: 2447.47s    ETR: 3597.48s
85/205...    AVG: 29.49s    TOTAL: 2476.78s    ETR: 3567.74s
86/205...    AVG: 29.48s    TOTAL: 2506.09s    ETR: 3538.00s
87/205...    AVG: 29.48s    TOTAL: 2535.37s    ETR: 3508.24s
88/205...    AVG: 29.48s    TOTAL: 2564.66s    ETR: 3478.51s
89/205...    AVG: 29.48s    TOTAL: 2593.91s    ETR: 3448.72s
90/205...    AVG: 29.47s    TOTAL: 2623.19s    ETR: 3418.99s
91/205...    AVG: 29.47s    TOTAL: 2652.46s    ETR: 3389.26s
92/205...    AVG: 29.47s    TOTAL: 2681.73s    ETR: 3359.53s
93/205...    AVG: 29.47s    TOTAL: 2711.02s    ETR: 3329.83s
94/205...    AVG: 29.47s    TOTAL: 2740.30s    ETR: 3300.15s
95/205...    AVG: 29.46s    TOTAL: 2769.58s    ETR: 3270.47s
96/205...    AVG: 29.46s    TOTAL: 2798.89s    ETR: 3240.82s
97/205...    AVG: 29.46s    TOTAL: 2828.18s    ETR: 3211.16s
98/205...    AVG: 29.46s    TOTAL: 2857.49s    ETR: 3181.53s
99/205...    AVG: 29.46s    TOTAL: 2886.78s    ETR: 3151.89s
100/205...    AVG: 29.46s    TOTAL: 2916.06s    ETR: 3122.25s
101/205...    AVG: 29.45s    TOTAL: 2945.31s    ETR: 3092.58s
102/205...    AVG: 29.45s    TOTAL: 2974.56s    ETR: 3062.91s
103/205...    AVG: 29.45s    TOTAL: 3003.82s    ETR: 3033.27s
104/205...    AVG: 29.45s    TOTAL: 3033.07s    ETR: 3003.62s
105/205...    AVG: 29.45s    TOTAL: 3062.31s    ETR: 2973.97s
106/205...    AVG: 29.44s    TOTAL: 3091.56s    ETR: 2944.35s
107/205...    AVG: 29.44s    TOTAL: 3120.82s    ETR: 2914.73s
108/205...    AVG: 29.44s    TOTAL: 3150.06s    ETR: 2885.10s
109/205...    AVG: 29.44s    TOTAL: 3179.31s    ETR: 2855.49s
110/205...    AVG: 29.44s    TOTAL: 3208.55s    ETR: 2825.88s
111/205...    AVG: 29.43s    TOTAL: 3237.79s    ETR: 2796.28s
112/205...    AVG: 29.43s    TOTAL: 3267.03s    ETR: 2766.68s
113/205...    AVG: 29.43s    TOTAL: 3296.28s    ETR: 2737.09s
114/205...    AVG: 29.43s    TOTAL: 3325.52s    ETR: 2707.50s
115/205...    AVG: 29.43s    TOTAL: 3354.78s    ETR: 2677.94s
116/205...    AVG: 29.43s    TOTAL: 3384.03s    ETR: 2648.37s
117/205...    AVG: 29.42s    TOTAL: 3413.27s    ETR: 2618.80s
118/205...    AVG: 29.42s    TOTAL: 3442.50s    ETR: 2589.23s
119/205...    AVG: 29.42s    TOTAL: 3471.77s    ETR: 2559.69s
120/205...    AVG: 29.42s    TOTAL: 3501.05s    ETR: 2530.17s
121/205...    AVG: 29.42s    TOTAL: 3530.33s    ETR: 2500.65s
122/205...    AVG: 29.42s    TOTAL: 3559.70s    ETR: 2471.19s
123/205...    AVG: 29.42s    TOTAL: 3588.97s    ETR: 2441.68s
124/205...    AVG: 29.42s    TOTAL: 3618.31s    ETR: 2412.20s
125/205...    AVG: 29.42s    TOTAL: 3647.61s    ETR: 2382.71s
126/205...    AVG: 29.42s    TOTAL: 3676.94s    ETR: 2353.24s
127/205...    AVG: 29.41s    TOTAL: 3706.21s    ETR: 2323.74s
128/205...    AVG: 29.41s    TOTAL: 3735.48s    ETR: 2294.23s
129/205...    AVG: 29.41s    TOTAL: 3764.71s    ETR: 2264.71s
130/205...    AVG: 29.41s    TOTAL: 3794.00s    ETR: 2235.23s
131/205...    AVG: 29.41s    TOTAL: 3823.38s    ETR: 2205.79s
132/205...    AVG: 29.41s    TOTAL: 3852.63s    ETR: 2176.30s
133/205...    AVG: 29.41s    TOTAL: 3881.87s    ETR: 2146.79s
134/205...    AVG: 29.41s    TOTAL: 3911.11s    ETR: 2117.29s
135/205...    AVG: 29.41s    TOTAL: 3940.35s    ETR: 2087.80s
136/205...    AVG: 29.40s    TOTAL: 3969.58s    ETR: 2058.30s
137/205...    AVG: 29.40s    TOTAL: 3998.78s    ETR: 2028.79s
138/205...    AVG: 29.40s    TOTAL: 4028.03s    ETR: 1999.31s
139/205...    AVG: 29.40s    TOTAL: 4057.22s    ETR: 1969.81s
140/205...    AVG: 29.40s    TOTAL: 4086.44s    ETR: 1940.32s
141/205...    AVG: 29.40s    TOTAL: 4115.66s    ETR: 1910.84s
142/205...    AVG: 29.40s    TOTAL: 4144.88s    ETR: 1881.36s
143/205...    AVG: 29.39s    TOTAL: 4174.08s    ETR: 1851.88s
144/205...    AVG: 29.39s    TOTAL: 4203.29s    ETR: 1822.40s
145/205...    AVG: 29.39s    TOTAL: 4232.49s    ETR: 1792.93s
146/205...    AVG: 29.39s    TOTAL: 4261.71s    ETR: 1763.47s
147/205...    AVG: 29.39s    TOTAL: 4290.92s    ETR: 1734.00s
148/205...    AVG: 29.39s    TOTAL: 4320.14s    ETR: 1704.55s
149/205...    AVG: 29.39s    TOTAL: 4349.39s    ETR: 1675.10s
150/205...    AVG: 29.39s    TOTAL: 4378.62s    ETR: 1645.65s
151/205...    AVG: 29.39s    TOTAL: 4407.82s    ETR: 1616.20s
152/205...    AVG: 29.38s    TOTAL: 4437.03s    ETR: 1586.75s
153/205...    AVG: 29.38s    TOTAL: 4466.25s    ETR: 1557.31s
154/205...    AVG: 29.38s    TOTAL: 4495.48s    ETR: 1527.88s
155/205...    AVG: 29.38s    TOTAL: 4524.69s    ETR: 1498.44s
156/205...    AVG: 29.38s    TOTAL: 4553.91s    ETR: 1469.00s
157/205...    AVG: 29.38s    TOTAL: 4583.11s    ETR: 1439.57s
158/205...    AVG: 29.38s    TOTAL: 4612.32s    ETR: 1410.14s
159/205...    AVG: 29.38s    TOTAL: 4641.52s    ETR: 1380.71s
160/205...    AVG: 29.38s    TOTAL: 4670.75s    ETR: 1351.29s
161/205...    AVG: 29.37s    TOTAL: 4699.95s    ETR: 1321.86s
162/205...    AVG: 29.37s    TOTAL: 4729.16s    ETR: 1292.44s
163/205...    AVG: 29.37s    TOTAL: 4758.37s    ETR: 1263.02s
164/205...    AVG: 29.37s    TOTAL: 4787.56s    ETR: 1233.61s
165/205...    AVG: 29.37s    TOTAL: 4816.76s    ETR: 1204.19s
166/205...    AVG: 29.37s    TOTAL: 4845.98s    ETR: 1174.78s
167/205...    AVG: 29.37s    TOTAL: 4875.16s    ETR: 1145.37s
168/205...    AVG: 29.37s    TOTAL: 4904.37s    ETR: 1115.96s
169/205...    AVG: 29.37s    TOTAL: 4933.56s    ETR: 1086.56s
170/205...    AVG: 29.37s    TOTAL: 4962.75s    ETR: 1057.15s
171/205...    AVG: 29.36s    TOTAL: 4991.94s    ETR: 1027.75s
172/205...    AVG: 29.36s    TOTAL: 5021.13s    ETR: 998.35s
173/205...    AVG: 29.36s    TOTAL: 5050.35s    ETR: 968.96s
174/205...    AVG: 29.36s    TOTAL: 5079.52s    ETR: 939.56s
175/205...    AVG: 29.36s    TOTAL: 5108.71s    ETR: 910.17s
176/205...    AVG: 29.36s    TOTAL: 5137.90s    ETR: 880.78s
177/205...    AVG: 29.36s    TOTAL: 5167.11s    ETR: 851.40s
178/205...    AVG: 29.36s    TOTAL: 5196.29s    ETR: 822.01s
179/205...    AVG: 29.36s    TOTAL: 5225.49s    ETR: 792.63s
180/205...    AVG: 29.36s    TOTAL: 5254.68s    ETR: 763.25s
181/205...    AVG: 29.35s    TOTAL: 5283.87s    ETR: 733.87s
182/205...    AVG: 29.35s    TOTAL: 5313.06s    ETR: 704.49s
183/205...    AVG: 29.35s    TOTAL: 5342.24s    ETR: 675.12s
184/205...    AVG: 29.35s    TOTAL: 5371.41s    ETR: 645.74s
185/205...    AVG: 29.35s    TOTAL: 5400.59s    ETR: 616.37s
186/205...    AVG: 29.35s    TOTAL: 5429.81s    ETR: 587.01s
187/205...    AVG: 29.35s    TOTAL: 5459.07s    ETR: 557.65s
188/205...    AVG: 29.35s    TOTAL: 5488.38s    ETR: 528.29s
189/205...    AVG: 29.35s    TOTAL: 5517.71s    ETR: 498.94s
190/205...    AVG: 29.35s    TOTAL: 5547.09s    ETR: 469.59s
191/205...    AVG: 29.35s    TOTAL: 5576.35s    ETR: 440.24s
192/205...    AVG: 29.35s    TOTAL: 5605.66s    ETR: 410.89s
193/205...    AVG: 29.35s    TOTAL: 5634.93s    ETR: 381.53s
194/205...    AVG: 29.35s    TOTAL: 5664.21s    ETR: 352.18s
195/205...    AVG: 29.35s    TOTAL: 5693.48s    ETR: 322.83s
196/205...    AVG: 29.35s    TOTAL: 5722.78s    ETR: 293.48s
197/205...    AVG: 29.35s    TOTAL: 5752.07s    ETR: 264.13s
198/205...    AVG: 29.35s    TOTAL: 5781.37s    ETR: 234.78s
199/205...    AVG: 29.35s    TOTAL: 5810.62s    ETR: 205.43s
200/205...    AVG: 29.35s    TOTAL: 5839.85s    ETR: 176.08s
201/205...    AVG: 29.35s    TOTAL: 5869.14s    ETR: 146.73s
202/205...    AVG: 29.35s    TOTAL: 5898.41s    ETR: 117.38s
203/205...    AVG: 29.35s    TOTAL: 5927.78s    ETR: 88.04s
204/205...    AVG: 29.34s    TOTAL: 5957.02s    ETR: 58.69s
205/205...    AVG: 29.34s    TOTAL: 5986.38s    ETR: 29.34s
Total solve time: 5987.12s
    avg: 0.59s
Saved to /home/tyler/Documents/repos/Experiments/iomt/alan/outputs/2024-10-25/01-44-50/landscape.png
Saved vp,vs,rho to /home/tyler/Documents/repos/Experiments/iomt/alan/outputs/2024-10-25/01-44-50/medium.png
Plotting frames...done in 286.14 seconds.

Saved wavefields to /home/tyler/Documents/repos/Experiments/iomt/alan/outputs/2024-10-25/01-44-50/wavefields.gif

Plotting frames...done in 215.18 seconds.

Saved obs to /home/tyler/Documents/repos/Experiments/iomt/alan/outputs/2024-10-25/01-44-50/obs.gif


Run . .latest to cd to the latest output directory

Run time of main callback: 5999.35 seconds
